"species","site","Photosynthesis","annual.Perennial","height","rootdiam","SRL","RTD","rootN","SLA","LDMC","LTD","leafarea","TLP","leafN","intrinsicLDGRcon","intrinsicLDGRchr","invasionLDGRcon","invasionLDGRchr","weight","effectN","effectND","weight2","grassland_type","grass.forb","lifespan"
"Lepidiumdensiflorum","CHY","C3","Annual",15.27428571,0.15235,282.0899068,0.40364305,1.816666667,169.268439,0.207452531,0.46227389,0.634055556,-0.728598717,3.598,0.0759779909823812,0.031473658220214,-0.0418148359774981,0.0943387304007919,0.256164802110239,-1.94323445460188,0.688951771302196,3.90373693716773,"Northern Mixed","Other","Short-lived"
"Lesquerellamontana","CHY","C3","Perennial",4.92,0.171,190.2181779,NA,1.828571429,92.82327376,0.211131504,NA,0.696166667,-0.880043165,2.744,0.380917028610739,0.483237293004093,0.747880412256495,0.812955028737631,0.910648541654225,1.64210509769398,1.63742987668962,1.09811848837254,"Northern Mixed","Other","Perennial"
"Linariadalmatica","CHY","C4","Perennial",60.7,NA,NA,NA,1.001,145.72879,0.21475,NA,4.2554429,NA,NA,0.744573280557605,0.823024167579444,0.307698922312065,0.418917639713076,0.535743436770393,-4.48635915779084,-4.04569762758485,1.86656509695811,"Northern Mixed","Other","Perennial"
"Lygodesmiajuncea","CHY","C3","Perennial",NA,NA,NA,NA,NA,101.5325763,0.203896624,NA,NA,NA,NA,0.0657269161530132,-0.0623300144268394,0.190387174923206,0.225660427771141,0.326416659282139,0.712772112450933,1.74023289128966,3.06356912725967,"Northern Mixed","Other","Perennial"
"Mertensialanceolata","CHY","C3","Perennial",10.37,0.18698,73.76156396,NA,1.425,129.3438491,0.208128531,NA,1.1595,-0.791050036,2.834,0.252402705904949,0.129877034346327,0.189081492939883,0.134933820247757,0.345301447019225,-0.296469775144808,0.0249149630336619,2.8960202994583,"Northern Mixed","Other","Perennial"
"Musineondivaricatum","CHY","C3","Perennial",6.85,NA,NA,NA,NA,98.72758824,0.194083985,0.16887982,3.292,-1.102265773,3.204,0.191093159614854,0.146156712975512,0.0292310250786583,0.119161988683187,0.291565654191411,-1.48782085858882,-0.157605527097064,3.42975925190251,"Northern Mixed","Other","Perennial"
"Pascopyrumsmithii","CHY","C3","Perennial",31.055,0.3128,39.31760857,0.2845681,0.88,75.48453217,0.381474082,0.46392425,5.1705,-1.395786971,2.31,1.96248043496719,1.24416895046486,2.09611981742302,1.26811310735778,0.603736816232339,0.613191399267712,0.0883886775741117,1.65635086864599,"Northern Mixed","Grass","Perennial"
"Penstemonalbidus","CHY","C3","Perennial",13.425,0.23682,118.2733738,NA,0.94,96.92319451,0.271293342,NA,2.184,-0.523550221,1.668,0.362541954187371,0.266635899613992,0.131137578352997,0.148169484960984,0.372994471876131,-1.33296361050971,-0.771339320215012,2.68100488184204,"Northern Mixed","Other","Perennial"
"Phloxhoodii","CHY","C4","Perennial",2.825,0.33018,47.89818564,0.327272727,1.18,139.5070877,0.262580645,0.40898618,0.030829593,-0.848817505,2.326666667,1.9048409352379,0.0726531731670457,2.30820428363417,0.359896361886589,0.426379364625565,3.72523044839406,1.57885126137815,2.34532926066479,"Northern Mixed","Other","Perennial"
"Plantagopatagonica","CHY","C3","Annual",7.655,0.168471429,264.2943584,NA,1.25,111.1843241,0.250117064,NA,1.199,-0.42831196,1.294,1.88621155775701,1.80976836814361,0.172862142786329,0.658036579495112,0.977801497820478,-12.8872858173907,-11.7277266884253,1.02270246285059,"Northern Mixed","Other","Short-lived"
"Sphaeralceacoccinea","CHY","C3","Perennial",8.865,0.259766667,70.74975685,0.133333333,1.5,91.28928662,0.300322517,0.22081766,2.609722222,-0.940412773,2.475,0.269977415663962,0.0648493763954774,0.116563201013362,0.176382866150576,0.354281909092352,-0.716833720898777,0.56488972891365,2.82261096131591,"Northern Mixed","Other","Perennial"
"Stipacomata","CHY","C3","Perennial",25.305,0.286883333,39.04902073,0.65,0.683333333,59.60760204,0.443618722,0.28232236,1.44825,-1.933388738,1.578,1.32952250008253,1.28434331079864,1.16202226375868,1.02842536684302,0.846153880734701,-0.679051883362885,-1.24111192107053,1.1818181335193,"Northern Mixed","Grass","Perennial"
"Tragopogondubius","CHY","C3","Biennial",51.08075,0.434975,22.84106,0.3711031,1.137,141.6648016,0.217106333,0.3306402,8.4654524,-1.074377472,3.029,0.624119772083882,-0.0706952099634499,0.338432805177845,0.460537128822306,0.499996324037017,-2.88844409398048,3.39444812817869,2.00001470396003,"Northern Mixed","Other","Short-lived"
"Vulpiaoctoflora","CHY","C3","Annual",6.495,0.12178,484.0989444,0.243376475,1.18,150.1410832,0.277615645,0.7305598,0.144238,-1.804843108,2.106,1.78573916629196,1.43441195227386,1.14906624718357,2.49655500364996,1.50850981956095,-3.78779603581864,9.49367745761702,0.662905860494198,"Northern Mixed","Grass","Short-lived"
"Achilleamillefolium","HYS","C3","Perennial",40.359167,0.2537,73.90947,0.3156046,0.685,169.867,0.28098,0.272,2.3824048,-1.8366896,NA,0.641443317688351,0.884910062681166,0.474445590142818,0.334980237891574,0.711255051930366,-1.53539451373683,-4.24096974382789,1.40596540901322,"Southern Mixed","Other","Perennial"
"Ambrosiapsilostachya","HYS","C3","Perennial",44.425,NA,NA,NA,1.29,108.6214169,0.2879133,0.67,4.920375,-2.73749216,NA,1.42969289854605,1.18295960570502,1.27068144629072,0.956651716267146,0.99555865052286,-1.17765231244892,-0.691612231598184,1.00446116306137,"Southern Mixed","Other","Perennial"
"Andropogonternarius","HYS","C4","Perennial",118.872,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.90044805796088,1.36856447062429,1.07517100108656,0.746494421047582,0.913170204994095,-6.46262704245636,-3.50212387914562,1.09508610172675,"Southern Mixed","Grass","Perennial"
"Aristidapurpurea","HYS","C4","Annual",7.35,0.2046,120.4515543,0.278714286,NA,103.569861,0.475938433,0.5223002,0.2265,-2.6865728,NA,1.52056223403225,1.39282023704337,1.33322666145686,1.00113865323618,0.811842947709175,-1.38964925012265,-1.51147671647488,1.23176533444277,"Southern Mixed","Grass","Short-lived"
"Asterericoides","HYS","C3","Perennial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.35912446080817,0.291953199659009,0.582831232386931,0.804377108378711,0.800463842640588,-6.60885166886777,5.5070662151813,1.24927566584541,"Southern Mixed","Other","Perennial"
"Astragaluscrassicarpus","HYS","C3","Perennial",NA,NA,NA,NA,NA,135.86957,NA,0.46,NA,NA,NA,0.516205856513506,-0.0363517749119162,0.328475176235305,0.0820707955598836,0.728756182967943,-1.6880345119701,0.703956984437452,1.37220105073742,"Southern Mixed","Other","Perennial"
"Boutelouacurtipendula","HYS","C4","Perennial",68.495,0.12054,222.8852772,0.45474026,0.884,158.4683619,0.441390407,0.5498623,4.08076,-2.8125968,NA,2.24302656629751,1.54010110637832,1.49140215852267,1.22134793912253,0.762768817716235,-2.22948064247119,-1.09694483630916,1.31101321497914,"Southern Mixed","Grass","Perennial"
"Boutelouagracilis","HYS","C4","Perennial",26.0065,0.183741667,123.04093,0.3752851,0.56,130.267628,0.482589445,0.412646057,0.92273,-3.80408,1.6829445,3.13002508793124,1.753919156043,1.05909652744866,0.974891305659155,0.909883571817203,-4.46593121870486,-3.40599845011396,1.09904171365883,"Southern Mixed","Grass","Perennial"
"Bromusjaponicus","HYS","C3","Annual",31.42857,NA,NA,NA,NA,NA,0.2866,0.33,2.499,NA,NA,2.13750654717969,2.71761462394116,0.791395538423433,2.01301507937454,1.4979384655003,-9.97593402532834,-2.71151408841556,0.667584165192,"Southern Mixed","Grass","Short-lived"
"Buchloedactyloides","HYS","C4","Perennial",NA,NA,NA,NA,0.78,131.75231,0.5325,NA,NA,NA,NA,1.37421769592077,1.03880745684002,0.299625623865956,0.566357068629484,0.848307698075827,-6.24379273799485,-3.132332325399,1.17881754729828,"Southern Mixed","Grass","Perennial"
"Cirsiumundulatum","HYS","C3","Perennial",43.87714286,NA,NA,NA,NA,71.73601,0.256133344,0.41,41.22380952,-1.080581418,1.964714286,0.918629636171564,1.67419400544008,0.94321476207201,0.169250771346707,0.775713195458654,0.207901690075593,-9.18083711705103,1.28913625016877,"Southern Mixed","Other","Perennial"
"Erysimumasperum","HYS","C3","Biennial",NA,NA,NA,NA,NA,NA,0.263038549,NA,NA,NA,NA,0.96074050996807,0.925488685831624,0.62859285867295,0.389183308531093,0.729906347965558,-2.31841817269021,-4.27490788882116,1.37003877660095,"Southern Mixed","Other","Short-lived"
"Gutierreziasarothrae","HYS","C3","Perennial",38.14667,0.2064,88.03055556,0.36,1.24,95.2121,0.376374603,0.15435775,0.19084,-2.454065,1.534,0.707799286620058,0.314283359542265,0.481129120400861,0.437848434262879,0.717470776912997,-1.85331167373649,0.753346133111954,1.39378499052271,"Southern Mixed","Other","Perennial"
"Hedeomahispida","HYS","C3","Annual",NA,NA,NA,NA,NA,115.15152,NA,0.4824561,NA,NA,NA,-0.0312523293556385,0.797154542824809,0.0616308614592349,0.24608667991399,0.330198424309388,0.676784115989198,-2.59769237292686,3.02848204709488,"Southern Mixed","Other","Short-lived"
"Kuhniaeupatorioides","HYS","C3","Perennial",89.5,NA,NA,NA,NA,140.25245,NA,0.31,NA,NA,NA,-4.48252750285813e-14,0.739491772378456,-1.1735554591672e-14,0.368355863270688,0.743178665858159,4.14152899477878e-13,-2.45595959115586,1.34557145669041,"Southern Mixed","Other","Perennial"
"Liatrispunctata","HYS","C3","Perennial",30.68167,0.3042,118.81,0.168,1.06,54.39829,0.312267,0.469593,1.21275,-0.914981833,1.664,0.537443898233165,1.04712783482244,0.252976677040234,0.476360943884234,0.599980783921428,-2.71545520004271,-3.93822799625347,1.66672004637228,"Southern Mixed","Other","Perennial"
"Medicagolupulina","HYS","C3","Annual",41.40291,0.215,303.5787,0.1045,3.2291685,182.43243,0.19152005,0.3915344,7.48,NA,NA,0.139026664833193,0.423253365432529,0.199099066521714,0.174211575151407,0.391358117905083,0.447289300093341,-1.2895241430359,2.55520443871956,"Southern Mixed","Other","Short-lived"
"Melilotusofficinalis","HYS","C3","Biennial",134.6,NA,NA,NA,NA,132.33083,0.2376667,0.2906469,NA,NA,NA,0.209643360434916,-0.0900153072016683,0.355124741889672,0.505683832966451,0.811667923568977,1.0705239373348,3.44604897109196,1.23203094635416,"Southern Mixed","Other","Short-lived"
"Opuntiapolyacantha","HYS","C3","Perennial",60.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.293590484733669,0.192206402414007,0.0558226698877355,0.143911710500681,0.522640491591201,-2.01272376550674,-0.369371244334396,1.91336112698704,"Southern Mixed","Other","Perennial"
"Oxalisstricta","HYS","C3","Perennial",29.30083,NA,NA,NA,NA,255.10204,0.169414116,0.28,8.438333,NA,NA,0.0200366928467182,0.123315716915048,0.0465884393370377,0.263520236831192,0.297336361617899,0.21732068188322,0.715229353927929,3.36319444604317,"Southern Mixed","Other","Perennial"
"Pascopyrumsmithii","HYS","C3","Perennial",37.07833333,0.195,122.15,0.285,1.004,52.67848466,0.455234911,0.46392425,7.28583335,-2.584984914,2.1925,2.60473421947794,3.7718631111133,1.15968305406858,1.99799241674407,1.06471531426532,-6.45118582623503,-5.18936655942553,0.939218199082656,"Southern Mixed","Grass","Perennial"
"Poapratensis","HYS","C3","Perennial",43.339,NA,652.0816,0.116875,0.8149322,223.21429,0.3044245,0.3409091,4.3356409,NA,NA,1.40129159091636,2.33713714750665,1.30926727692446,2.18289228647925,0.785993895582679,-0.76842500696267,-1.37369355885289,1.2722745120796,"Southern Mixed","Grass","Perennial"
"Psoraleatenuiflora","HYS","C3","Perennial",NA,0.3176333,34.26263,0.4262845,NA,100.06946,NA,0.3569595,NA,NA,NA,1.83542812851684,2.71453020192637,0.782806689687851,0.773300916958462,0.968810051398076,-8.00061681831392,-7.32008289659287,1.03219408031215,"Southern Mixed","Other","Perennial"
"Ratibidacolumnifera","HYS","C3","Perennial",94.488,0.204666667,128.4495034,0.278333333,NA,111.3554043,0.212333434,0.2941176,NA,-1.92912608,NA,0.95573836636138,1.91151082737283,0.490639772602684,0.694534929832449,0.647817526628317,-3.62533589657943,-6.61249932870008,1.54364455868411,"Southern Mixed","Other","Perennial"
"Schizachyriumscoparium","HYS","C4","Perennial",91.4125,0.17486,195.7415543,0.228333333,0.9905,161.2498759,0.341577904,0.7731486,2.43956,-2.254976,NA,1.39429174706554,1.20871726597676,1.13776576301243,0.817451817868793,0.630811103853044,-1.2999562347268,-1.75382763448725,1.5852606174684,"Southern Mixed","Grass","Perennial"
"Senecioplattensis","HYS","C3","Perennial",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0424349227416519,-0.126496135606375,0.0788567276337405,0.290965486654856,0.43224617198385,0.29663592923958,2.32536408570904,2.31349648606573,"Southern Mixed","Other","Perennial"
"Sileneantirrhina","HYS","C3","Annual",NA,NA,NA,NA,NA,200,NA,0.3846154,NA,NA,NA,0.09441862952005,0.196361721422791,0.0328155191947148,0.0981782262894658,0.17756621110324,-0.549620917523682,-0.597323486788125,5.63170207770319,"Southern Mixed","Other","Short-lived"
"Sporobolusasper","HYS","C4","Perennial",95.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.94105237899506,1.35216289280044,1.18824690336631,1.18951693932755,0.870286410311217,-3.04031406328508,-0.641152043681378,1.14904701274423,"Southern Mixed","Grass","Perennial"
"Tragopogondubius","HYS","C3","Biennial",51.08075,0.435,22.84,0.371,1.137,110.2,0.217106333,0.377,8.4654524,-1.074377472,3.029,0.301166834590146,0.212115615646444,0.575105048201195,-0.449042268724686,0.413557234184521,2.13478819890489,-4.12645956001073,2.41804499435698,"Southern Mixed","Other","Short-lived"
"Ambrosiapsilostachya","KNZ","C3","Perennial",44.425,0.206,145.345,0.374,1.29,108.6214169,0.2879133,0.56,4.920375,-2.73749216,NA,0.840137678708543,1.09901692903032,0.806020738659486,0.904590502394508,0.757500391171656,-0.270807780437823,-2.16760105227444,1.32013133148784,"Tallgrass","Other","Perennial"
"Amorphacanescens","KNZ","C3","Perennial",NA,0.194,73.78,0.586,NA,179.5875,0.624936769,0.3934341,NA,NA,NA,0.973550117573219,0.492782551905457,1.02072138748765,0.595946728126837,0.710593315220237,0.55625667654117,1.66421882611058,1.40727470774203,"Tallgrass","Other","Perennial"
"Andropogongerardii","KNZ","C4","Perennial",NA,0.2409,45.38839,0.4841379,1.44,172.2349175,0.321700284,0.4786185,NA,-2.0594736,NA,2.00684132984133,2.90466331331453,1.49861200078367,2.49437015915371,0.47422321389198,-1.91821997003165,-1.50951895036335,2.10871161660969,"Tallgrass","Grass","Perennial"
"Asclepiasverticillata","KNZ","C3","Perennial",73.7,0.4293,29.21309,0.2663795,NA,167.08895,NA,0.3837415,NA,NA,NA,0.309770585309084,0.270476096477709,0.440550263739731,0.304824885507287,0.562400530343871,1.61378836168962,0.427663061656105,1.77809220661397,"Tallgrass","Other","Perennial"
"Asterericoides","KNZ","C3","Perennial",52.57,NA,NA,NA,NA,95.8,0.3376,NA,0.2973,NA,1.2,0.527115909798568,1.5859741452615,0.217143350646128,0.492875974431436,0.492920410217082,-5.74892804709505,-13.2235996164944,2.02872508273618,"Tallgrass","Other","Perennial"
"Boutelouacurtipendula","KNZ","C4","Perennial",68.495,0.1827286,100.63455,0.5510436,0.884,160.67665,0.425945204,0.548931,4.08076,-3.0114032,1.6,1.15764023403894,0.488567344480158,1.25396720616271,1.13023981522526,0.937018835932534,1.79726839349163,7.41686058212516,1.06721440557253,"Tallgrass","Grass","Perennial"
"Carexbrevior","KNZ","C3","Perennial",NA,NA,NA,NA,NA,208.33333,NA,0.3428571,NA,NA,NA,0.160456901496831,0.309616741396065,0.621391343206861,0.351814747662387,0.534290746413536,6.73426410250143,0.84330466822931,1.87164012611592,"Tallgrass","Grass","Perennial"
"Carexheliophila","KNZ","C3","Perennial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.772390903700902,0.827523254066564,0.681044505315881,0.774236436781644,0.734028698711074,-1.00084490598594,-0.581020235509121,1.36234455377012,"Tallgrass","Grass","Perennial"
"Carexmeadii","KNZ","C3","Perennial",44,NA,NA,NA,NA,208.98642,NA,0.435,NA,NA,NA,1.43752937751731,1.4853762877232,1.3151891191494,0.904020166452916,0.729568528419821,-1.40237436255506,-5.47789280890096,1.37067315960834,"Tallgrass","Grass","Perennial"
"Dichantheliumoligosanthes","KNZ","C3","Perennial",31.82,NA,NA,NA,NA,100.7,0.32558,NA,3.1738,NA,0.9,0.381957986527986,0.298849555297532,0.311328443427941,0.250913989132645,0.512996048702602,-0.86870787648383,-0.496151713850867,1.94933275320358,"Tallgrass","Grass","Perennial"
"Euphorbianutans","KNZ","C4","Annual",39.2778,0.19485,115.46675,0.301148,NA,122.6628,NA,0.6725255,NA,NA,NA,-0.0174725290766711,-0.0186562214379715,0.123918917103403,0.0348723044961667,0.334413856912949,2.24983822997612,0.595871013936896,2.99030670927105,"Tallgrass","Other","Short-lived"
"Physalispumila","KNZ","C3","Perennial",NA,NA,NA,NA,NA,96.62921,NA,0.3980322,NA,NA,NA,0.145999143894577,0.218669712517713,0.17648411083439,0.629142513658493,0.52633781360999,0.730073767611685,5.84505365638249,1.89992049619484,"Tallgrass","Other","Perennial"
"Psoraleatenuiflora","KNZ","C3","Perennial",NA,0.3176333,58.831315,0.4262845,NA,100.07,NA,0.33698,NA,NA,NA,0.188737609461858,1.05659595139244,0.288741912728701,0.946753498182551,0.756987489622647,1.22676931446062,-1.15969766181175,1.32102579462508,"Tallgrass","Other","Perennial"
"Ruelliahumilis","KNZ","C3","Perennial",46.224,0.4301655,18.73055,0.4105155,NA,182.519,NA,0.3585735,NA,NA,NA,0.418437075189675,0.0710645530804883,0.256973070391767,0.0287112169346964,0.471632792932154,-2.69438235972499,-0.492883320389046,2.12029361610539,"Tallgrass","Other","Perennial"
"Schizachyriumscoparium","KNZ","C4","Perennial",91.4125,0.202475,79.36428,0.444032,0.9905,178.6083,0.341577904,0.7250745,2.43956,-2.254976,NA,2.21728665337995,2.24649934083764,1.46890164427324,1.50010275105543,0.645452734515649,-2.66512624918511,-3.88810695978134,1.54930012148822,"Tallgrass","Grass","Perennial"
"Sorghastrumnutans","KNZ","C4","Perennial",180.86,0.238,78.45428,0.317752,NA,163.79195,0.39788,0.489839,NA,NA,1.09,2.00178102120113,2.4962914393806,1.87333489007216,2.66306187999855,0.606482128909718,-1.02231518556049,1.44227759008767,1.64885320165611,"Tallgrass","Grass","Perennial"
"Sporobolusasper","KNZ","C4","Perennial",95.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.58448758043493,1.12098392444859,1.4269339343338,1.19033497214148,0.889960916422452,-1.72192872283907,0.737112266832101,1.12364484950631,"Tallgrass","Grass","Perennial"
"Artemisiafrigida","SGS","C3","Perennial",33.84,0.24195,70.28428596,NA,1.02,169.4188881,0.430576332,0.33609394,0.6698,-2.2888,1.943,1.56681895648601,0.747080862500609,1.71188699130589,1.20078240299323,0.796213790799559,0.430834991196961,1.69299382364446,1.25594408380669,"Northern Shortgrass","Other","Perennial"
"Boutelouagracilis","SGS","C4","Perennial",23.136,0.183741667,123.04093,0.3752851,0.56,125.5501051,0.480014021,0.412646057,1.018,-2.1479208,1.857,3.79325024095202,3.63163171052117,3.57534308908501,1.99556842377772,0.779416767317093,-0.217907151867011,-1.63606328674345,1.2830106329919,"Northern Shortgrass","Grass","Perennial"
"Buchloedactyloides","SGS","C4","Perennial",NA,NA,NA,NA,0.78,131.75231,0.61125,NA,NA,NA,NA,1.21622792928517,0.827238673463729,0.696249359881153,1.01917696308073,0.811384690182035,-1.76559519952039,0.614245560948618,1.23246101645774,"Northern Shortgrass","Grass","Perennial"
"Carexeleocharis","SGS","C3","Perennial",12.652,0.1892,76.88056507,NA,0.716666667,110.0503329,0.40284305,NA,1.11075,-2.15417688,1.753,0.0371421527992057,-0.143702914117319,0.750293433327836,0.678662683610138,0.831659444558643,2.10826152740824,2.10083206796102,1.20241525126994,"Northern Shortgrass","Grass","Perennial"
"Echinocereusviridiflorus","SGS","CAM","Perennial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.22342300358472e-16,0.115364851865796,1.05822575166915e-16,0.0419488997848846,0.132662746565748,-1.08105576227744e-15,-0.189756325065783,7.53791117617482,"Northern Shortgrass","Other","Perennial"
"Elymuselymoides","SGS","C3","Perennial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.82608652452385,1.5067458327156,1.62208867377278,1.40691820703777,0.736160937511516,-0.662763488934572,-0.346424545687002,1.35839861780816,"Northern Shortgrass","Grass","Perennial"
"Heterothecavillosa","SGS","C3","Perennial",19.29333333,0.254566667,69.97353922,NA,0.8,125.3067938,0.328382588,NA,1.50075,-1.30543536,2.544,-0.129843678574725,-0.297013934824566,0.46183841721503,0.626371861967441,0.544164505830683,2.54321413023671,6.25635876203164,1.83767957903368,"Northern Shortgrass","Other","Perennial"
"Ipomopsislaxiflora","SGS","C3","Biennial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0867929753548,2.60651074384718,0.62460513626715,1.45452896984889,0.930255350453084,-2.51871561538261,-5.70471663129828,1.074973661278,"Northern Shortgrass","Other","Short-lived"
"Lepidiumdensiflorum","SGS","C3","Annual",17.528,0.119727767,317.5002833,0.40364305,1.816666667,175.1400009,0.190562613,0.46227389,0.68675,-0.949672944,3.816,0.279020608272934,0.276491947891509,0.213848180109791,0.162449576941493,0.449400405779058,-0.322165112432745,-0.584042756634529,2.22518713187731,"Northern Shortgrass","Other","Short-lived"
"Machaerantheratanacetifolia","SGS","C3","Annual",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.19929870445512,0.693147180559947,1.6774234457846,-0.237656212099312,1.60847449581351,3.31720444593439,-10.3874510446435,0.6217070911617,"Northern Shortgrass","Other","Short-lived"
"Oenotherasp.","SGS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.294394152014605,0.110251113670635,0.259738396090718,0.562661725965228,0.604958200090001,-0.228414315241801,2.14722905522806,1.653006769478,"Northern Shortgrass","Grass","Perennial"
"Opuntiapolyacantha","SGS","C3","Perennial",60.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.262770320089973,0.452788585773119,0.224268294475781,0.285229809291692,0.567872231592737,-0.0933432364150768,-0.512864567823629,1.76095949822243,"Northern Shortgrass","Other","Perennial"
"Plantagopatagonica","SGS","C3","Annual",9.412,0.168471429,264.2943584,NA,1.25,125.8134807,0.228196907,NA,1.64475,-0.9627412,2.055,2.65533657869109,1.70773161428211,3.15635293747721,1.62841920375253,1.33449828915426,2.49571897033075,-0.451866015940471,0.749345284386803,"Northern Shortgrass","Other","Short-lived"
"Salsolatragus","SGS","C4","Annual",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.502981882659448,2.09629956533614,0.315217410683775,0.682634388644411,0.683993660266441,-0.576451542129999,-10.394846107753,1.46200185482781,"Northern Shortgrass","Other","Short-lived"
"Sphaeralceacoccinea","SGS","C3","Perennial",13.224,0.274783335,99.97988,0.133333333,1.5,102.8873489,0.335130805,0.22081766,4.9,-1.77186088,3.143,1.090677713138,1.35274619010865,0.711441492467142,0.964889726791959,0.619847670854953,-1.2839169026801,-0.932191856878669,1.61329960088534,"Northern Shortgrass","Other","Perennial"
